商品名,販売価格,仕入価格,バーコード,カテゴリ,型番,メーカー,在庫数
Brother DCP-J529N,19800,0,,周辺機器,,,0
LANの設定,9000,0,,技術料,,,0
OSアップグレード,11000,0,,技術料,,,0
Windowd仮想マシン化,40000,0,,技術料,,,0
インターネット接続設定,4000,0,,技術料,,,0
ウイルス駆除,16000,0,,技術料,,,0
サーバOSセットアップ,80000,0,,技術料,,,-1
サーバーOSインストール作業,80000,0,,技術料,,,0
ソフトウェアインストール,4000,0,,技術料,,,0
データバックアップ作業,15000,0,,技術料,,,-3
パソコンACEMAGIC K1Ryzen4300U/16GB/256GB,59800,40990,,PC,K1,ACEMAGIC,0
パソコンリカバリー設定,9000,0,,技術料,,,0
パソコン初期設定,16000,0,,技術料,,,0
プリンタ設定,4000,0,,サービス,,,0
メールアカウント設定,3000,0,,サービス,,,0
ルータ等通信機器設定,9000,0,,サービス,,,0
中古サーバ HP Z240 XeonE3-1225v3,48000,32000,,パソコン,Z240,HP,-1
出張料10km,9000,0,,サービス,,,0
出張料10km圏内,9000,0,,サービス,,,0
出張料15km圏内,11000,0,,サービス,,,0
技術料基本(～2時間),11000,0,,サービス,,,0
技術料延長 1h,6000,0,,サービス,,,0
米,4500,0,,穀物,,,0
複合機 Brother DCP-J529N,19800,0,,周辺機器,,,0
買い物同行,4000,0,,サービス,,,0
